year,,year,donor,recipient,amount
1985,691,1985,Canada,Thailand,63031601.0
1985,694,1985,Denmark,Thailand,55289279.0
1985,707,1985,Germany,Thailand,52374774.0
1985,734,1985,Switzerland,India,50487527.0
1985,690,1985,Canada,India,33145793.0
1985,689,1985,Canada,Colombia,28351261.0
1985,716,1985,Japan,Saudi Arabia,19453276.0
1985,687,1985,Canada,Brazil,17583063.0
1985,750,1985,United States,Saudi Arabia,15992006.0
1985,698,1985,France,Thailand,14411788.0
1985,703,1985,Germany,Korea,11907669.0
1985,730,1985,Sweden,Chile,6047804.0
1985,684,1985,Australia,Thailand,5422241.0
1985,688,1985,Canada,Chile,4411727.0
1985,723,1985,Netherlands,Thailand,4363933.0
1985,686,1985,Belgium,Thailand,4191839.0
1985,712,1985,Japan,Colombia,4053737.0
1985,700,1985,Germany,Chile,2987455.0
1985,720,1985,Netherlands,Chile,2334602.0
1985,721,1985,Netherlands,Colombia,1417766.0
1985,683,1985,Australia,India,1377613.0
1985,733,1985,Switzerland,Colombia,1017005.0
1985,692,1985,Denmark,Chile,685933.0
1985,735,1985,Switzerland,Thailand,661053.0
1985,701,1985,Germany,Colombia,594330.0
1985,739,1985,United Kingdom,India,592397.0
1985,711,1985,Japan,Chile,582433.0
1985,715,1985,Japan,Kuwait,524410.0
1985,737,1985,United Kingdom,Chile,275042.0
1985,725,1985,Norway,Brazil,247725.0
1985,726,1985,Norway,Chile,214378.0
1985,719,1985,Netherlands,Brazil,211026.0
1985,731,1985,Sweden,Colombia,177780.0
1985,736,1985,United Kingdom,Brazil,172783.0
1985,682,1985,Australia,Colombia,129719.0
