,year,Country,received,donated,total
554,2004,Cyprus,24632806.0,0.0,24632806.0
109,1981,Sweden,24474486.0,151539023.0,176013509.0
247,1991,Cyprus,24108788.0,0.0,24108788.0
478,2001,Estonia,24044423.0,184731.0,24229154.0
510,2002,Latvia,23562554.0,0.0,23562554.0
502,2002,Cyprus,23150596.0,0.0,23150596.0
417,1998,Slovak Republic,22763026.0,0.0,22763026.0
484,2001,Latvia,22714406.0,0.0,22714406.0
388,1997,Latvia,22485213.0,0.0,22485213.0
185,1986,Portugal,21863247.0,0.0,21863247.0
187,1986,Taiwan,21795291.0,0.0,21795291.0
35,1977,Cyprus,20945184.0,0.0,20945184.0
389,1997,Lithuania,20435390.0,0.0,20435390.0
406,1998,Estonia,20250742.0,0.0,20250742.0
426,1999,Cyprus,19380977.0,0.0,19380977.0
556,2004,Estonia,19139015.0,0.0,19139015.0
338,1995,Estonia,18418713.0,0.0,18418713.0
102,1981,Liechtenstein,18264370.0,199326.0,18463696.0
68,1980,Iceland,18060045.0,0.0,18060045.0
571,2004,Taiwan,17888290.0,0.0,17888290.0
359,1996,Cyprus,17809922.0,0.0,17809922.0
62,1980,Chile,17218386.0,0.0,17218386.0
460,2000,Lithuania,16836580.0,0.0,16836580.0
604,2007,Saudi Arabia,16462193.0,0.0,16462193.0
13,1974,Cyprus,16432279.0,0.0,16432279.0
270,1992,Estonia,16023398.0,0.0,16023398.0
452,2000,Estonia,16010329.0,0.0,16010329.0
531,2003,Estonia,15925093.0,0.0,15925093.0
52,1979,Cyprus,15837039.0,0.0,15837039.0
537,2003,Latvia,15787761.0,0.0,15787761.0
562,2004,Latvia,15622106.0,0.0,15622106.0
51,1979,Colombia,15388003.0,0.0,15388003.0
547,2003,Taiwan,15103689.0,0.0,15103689.0
197,1987,Taiwan,14965414.0,0.0,14965414.0
591,2006,Saudi Arabia,14209342.0,0.0,14209342.0
459,2000,Latvia,14205663.0,0.0,14205663.0
491,2001,Slovenia,13913044.0,0.0,13913044.0
493,2001,Taiwan,13689330.0,0.0,13689330.0
442,1999,Slovenia,12831539.0,0.0,12831539.0
567,2004,Saudi Arabia,12603354.0,0.0,12603354.0
569,2004,Slovenia,12414136.0,0.0,12414136.0
327,1994,Slovenia,12375582.0,0.0,12375582.0
436,1999,Lithuania,12053667.0,0.0,12053667.0
55,1979,Saudi Arabia,12014220.0,0.0,12014220.0
232,1990,Cyprus,11768247.0,0.0,11768247.0
74,1980,New Zealand,11703716.0,0.0,11703716.0
208,1988,Poland,11464751.0,0.0,11464751.0
409,1998,Korea,10793650.0,0.0,10793650.0
281,1992,Slovenia,10624910.0,0.0,10624910.0
435,1999,Latvia,10570801.0,0.0,10570801.0
255,1991,Kuwait,10244282.0,0.0,10244282.0
3,1973,Cyprus,9613414.0,0.0,9613414.0
381,1997,Cyprus,9602634.0,0.0,9602634.0
302,1993,Qatar,9564499.0,0.0,9564499.0
331,1994,United Arab Emirates,9485289.0,0.0,9485289.0
529,2003,Cyprus,9421124.0,0.0,9421124.0
375,1996,Taiwan,9333721.0,0.0,9333721.0
582,2005,Saudi Arabia,9206877.0,0.0,9206877.0
428,1999,Estonia,9201870.0,0.0,9201870.0
210,1988,Qatar,9137956.0,0.0,9137956.0
304,1993,Slovak Republic,9121048.0,0.0,9121048.0
542,2003,Saudi Arabia,8735630.0,0.0,8735630.0
418,1998,Slovenia,8484412.0,0.0,8484412.0
